ZCTA,state,n,civic_org_sum,civic_opp_sum,volunteer_sum,membership_sum,take_action_sum,events_sum,TotalPopulation,BROAD,REMNRTY,POV150,NOHSDP,SNGPNT,UNEMP,civic_org_sum_normalized,civic_opp_sum_normalized,civic_opp_index,volunteer_sum_normalized,membership_sum_normalized,take_action_sum_normalized,events_sum_normalized
29681,SC,147,59,26.25,18,47,1,39,65829,4.9,25.1,7.3,3.2,5,3.5,89.6261526075134,39.876042473681814,2,27.343571981953243,71.39710461954458,1.5190873323307357,59.24440596089869
29682,SC,6,2,1,1,2,0,1,3785,26,4.1,18.6,9.4,2.3,4.8,52.84015852047556,26.42007926023778,2,26.42007926023778,52.84015852047556,0,26.42007926023778
29683,SC,1,1,0.25,0,1,0,0,482,40.4,0.8,23.7,0,0,12,207.4688796680498,51.86721991701245,3,0,207.4688796680498,0,0
29684,SC,7,4,1.5,0,3,0,3,5501,15.7,15.3,23.8,17.7,3.6,5.9,72.71405199054718,27.26776949645519,2,0,54.53553899291038,0,54.53553899291038
29685,SC,14,6,1.75,1,6,0,0,2167,9.9,8.4,22.4,7.7,4.9,10.1,276.8804799261652,80.75680664513152,4,46.14674665436087,276.8804799261652,0,0
29686,SC,7,2,1.25,1,2,0,2,1015,23.8,4.2,27.8,11.3,0,0,197.04433497536945,123.15270935960591,5,98.52216748768473,197.04433497536945,0,197.04433497536945
29687,SC,105,51,25.5,29,39,1,33,41861,8.1,27.7,15.2,8,4.8,4.3,121.83177659396574,60.91588829698287,3,69.27689257303935,93.165476218914975,2.3888583645875636,78.8323260313896
29689,SC,4,3,1,1,2,0,1,3918,22,4.5,27.7,8.9,4.7,4.6,76.5696784073507,25.523226135783563,2,25.523226135783563,51.04645227156713,0,25.523226135783563
29690,SC,57,22,12.25,10,19,3,17,25141,18,18,25.9,13.1,7.3,5.2,87.5064635456028,48.72518992880156,3,39.775665248001275,75.57376397120242,11.932699574400381,67.61863092160216
29691,SC,27,12,5.25,4,9,0,8,12250,22,23.2,34.3,18.2,7.7,9.5,97.95918367346938,42.857142857142854,2,32.6530612244898,73.46938775510205,0,65.3061224489796
