FIPS,state,n,civic_org_sum,civic_opp_sum,volunteer_sum,membership_sum,take_action_sum,events_sum,TotalPopulation,Geolocation,POV150,SNGPNT,BROAD,NOHSDP,UNEMP,REMNRTY,civic_org_sum_normalized,civic_opp_sum_normalized,civic_opp_index,volunteer_sum_normalized,membership_sum_normalized,take_action_sum_normalized,events_sum_normalized
13119,GA,52,15,7,6,13,0,9,23256,POINT (-83.2275325 34.3752657),28.8,7,23.3,18.2,5.5,17.4,64.49948400412796,30.099759201926386,1,25.799793601651185,55.89955280357757,0,38.69969040247678
13121,GA,6360,2528,1204.25,1273,1972,146,1429,1054286,POINT (-84.4681816 33.7900338),20.6,7.5,9.6,6.8,5.5,61.1,239.7831328500995,114.22422378747324,5,120.7452247302914,187.04601977072636,13.848234729475683,135.54196868781335
13123,GA,68,32,15.5,14,25,1,22,31047,POINT (-84.4546244 34.6905055),23.3,5.5,16.1,15,3.4,14.9,103.06953973008665,49.924308306760715,3,45.0929236319129,80.52307791413018,3.2209231165652077,70.86030856443456
13125,GA,5,3,1,1,2,0,1,2903,POINT (-82.6069126 33.2274908),26.5,10.3,41.4,18.2,1.5,13,103.34137099552187,34.447123665173955,2,34.447123665173955,68.89424733034791,0,34.447123665173955
13127,GA,324,127,60.5,60,100,5,77,84373,POINT (-81.4964503 31.2127098),24.3,6.3,17.9,11,4.3,36.8,150.52208644945657,71.70540338733956,4,71.11279674777477,118.52132791295794,5.926066395647897,91.26142249297762
13129,GA,106,38,17.75,20,31,1,20,57274,POINT (-84.8738622 34.5096669),30,7.3,25,23.3,3,23.3,66.3477319551629,30.99137479484583,1,34.91985892376995,54.12578133184342,1.7459929461884973,34.91985892376995
13131,GA,41,10,4.75,4,10,1,5,26076,POINT (-84.2450803 30.8759076),29.9,8,22.3,20.3,2.7,42.1,38.34944009817457,18.21598404663292,1,15.339776039269827,38.34944009817457,3.8349440098174568,19.174720049087284
13133,GA,78,35,16,18,23,3,21,18461,POINT (-83.1666253 33.5767036),24.9,6.5,22.8,12.4,5.5,41.8,189.5888630085044,86.66919451817344,5,97.50284383294513,124.58696711987433,16.250473972157522,113.75331780510265
13135,GA,3277,1123,506,502,835,36,653,948505,POINT (-84.0257351 33.9587564),19.2,7.7,8.8,12.1,4.1,64.9,118.39684556222687,53.347109398474444,3,52.92539311864461,88.03327341447857,3.7954465184685375,68.84518268222097
13137,GA,94,31,13.5,11,23,0,20,45767,POINT (-83.5258749 34.6343924),23.6,3.7,19.4,19.5,2.4,24.3,67.7343937771757,29.497235999737804,1,24.034784888675247,50.25455022177552,0,43.69960888850045
13139,GA,390,152,72.5,74,117,5,95,201703,POINT (-83.8184997 34.3175689),21.8,6.4,9.4,19.4,3.6,40.5,75.35832387222798,35.943937373266635,2,36.687605043058355,58.00607824375443,2.4788922326390783,47.09895242014249
13141,GA,20,7,2.75,2,6,0,3,8652,POINT (-83.0004653 33.2692195),37.6,4.5,51.3,31,2.2,75.3,80.90614886731392,31.78455848358761,2,23.11604253351826,69.34812760055479,0,34.674063800277395
13143,GA,46,16,7.75,8,11,0,12,29685,POINT (-85.2200629 33.7951646),19.9,4.3,17.4,16.9,4.9,9.9,53.8992757284824,26.10746168098366,1,26.9496378642412,37.055752063331646,0,40.424456796361795
